IntZone,node_index
S02001842,0
S02001843,1
S02001844,2
S02001845,3
S02001846,4
S02001847,5
S02001848,6
S02001849,7
S02001850,8
S02001851,9
S02001852,10
S02001853,11
S02001854,12
S02001855,13
S02001856,14
S02001857,15
S02001858,16
S02001859,17
S02001860,18
S02001861,19
S02001862,20
S02001863,21
S02001864,22
S02001865,23
S02001866,24
S02001867,25
S02001868,26
S02001869,27
S02001870,28
S02001871,29
S02001872,30
S02001873,31
S02001874,32
S02001875,33
S02001876,34
S02001877,35
S02001878,36
S02001879,37
S02001880,38
S02001881,39
S02001882,40
S02001883,41
S02001884,42
S02001885,43
S02001886,44
S02001887,45
S02001888,46
S02001889,47
S02001890,48
S02001891,49
S02001892,50
S02001893,51
S02001894,52
S02001895,53
S02001896,54
S02001897,55
S02001898,56
S02001899,57
S02001900,58
S02001901,59
S02001902,60
S02001903,61
S02001904,62
S02001905,63
S02001906,64
S02001907,65
S02001908,66
S02001909,67
S02001910,68
S02001911,69
S02001912,70
S02001913,71
S02001914,72
S02001915,73
S02001916,74
S02001917,75
S02001918,76
S02001919,77
S02001920,78
S02001921,79
S02001922,80
S02001923,81
S02001924,82
S02001925,83
S02001926,84
S02001927,85
S02001928,86
S02001929,87
S02001930,88
S02001931,89
S02001932,90
S02001933,91
S02001934,92
S02001935,93
S02001936,94
S02001937,95
S02001938,96
S02001939,97
S02001940,98
S02001941,99
S02001942,100
S02001943,101
S02001944,102
S02001945,103
S02001946,104
S02001947,105
S02001948,106
S02001949,107
S02001950,108
S02001951,109
S02001952,110
S02001953,111
S02001954,112
S02001955,113
S02001956,114
S02001957,115
S02001958,116
S02001959,117
S02001960,118
S02001961,119
S02001962,120
S02001963,121
S02001964,122
S02001965,123
S02001966,124
S02001967,125
S02001968,126
S02001969,127
S02001970,128
S02001971,129
S02001972,130
S02001973,131
S02001974,132
S02001975,133
S02001976,134
S02001977,135
